mail,edad,gasto
nisl@adipiscingelit.org,18,10
dui.Fusce.diam@non.edu,21,11
nisl.Maecenas@vitaeorciPhasellus.org,22,22
justo.nec@Aenean.edu,24,15
neque.Morbi.quis@AeneanmassaInteger.ca,26,12
elit@erat.org,26,13
non.arcu.Vivamus@montesnasceturridiculus.net,27,14
Proin.sed@sit.co.uk,30,33
auctor@odioEtiam.ca,31,39
Mauris.non.dui@nisia.co.uk,35,37
turpis.In.condimentum@Sedeget.co.uk,36,47
malesuada.fringilla.est@velit.co.uk,39,44
orci@Sedauctor.co.uk,40,27
lobortis@magnaNamligula.edu,41,29
urna.Ut.tincidunt@semperpretium.co.uk,42,20
egestas.ligula@posuerecubiliaCurae.com,44,28
sagittis.felis.Donec@sociisnatoque.ca,46,21
arcu.iaculis@Duisac.ca,47,30
eu.erat@acmetus.com,48,31
ipsum.ac.mi@lacus.org,49,23
purus.sapien@lorem.ca,54,24
semper@etmalesuadafames.ca,55,20
ut@adipiscing.com,23,15
sit@egestas.co.uk,28,16
ut@adipiscing.com,32,42
sit@egestas.co.uk,43,30
